script_name,ksed_targetConcurrency,ksed_rampUpTime,ksed_rampUpStepsCount,ksed_holdTargetRateTime,ksed_iterationCount,ksed_pacingTargetThroughput,ksed_testID,ksed_AFFlag,ksed_docxParams,ksed_docParams,ksed_xlsxParams,ksed_xlsParams,ksed_pdfParams
UC01,54,1800,4,43200,150,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC02,12,1800,4,43200,12,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC03,12,1800,4,43200,12,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC04,12,1800,4,43200,12,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC05,12,1800,4,43200,12,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC06,12,1800,4,43200,12,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC07,8,1800,4,43200,4,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC08,10,1800,4,43200,11,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC09,20,1800,4,43200,11,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC10,8,1800,4,43200,6,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC11,8,1800,4,43200,5,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC12,20,1800,4,43200,5,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC13,6,1800,4,43200,8,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC14,24,1800,4,43200,9,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC15,40,1800,4,43200,15,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC16,20,1800,4,43200,15,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC17,6,1800,4,43200,7,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC18,5,1800,4,43200,7,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC19,5,1800,4,43200,7,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC20,5,1800,4,43200,7,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC21,5,1800,4,43200,7,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC22,7,1800,4,43200,5,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC23,7,1800,4,43200,5,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC24,7,1800,4,43200,5,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC25,7,1800,4,43200,5,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
UC26,11,1800,4,43200,9,0.025,2021.03.11-14:00,true,"15-20KB,10%;20-25,15%;25-30,25%;35-40,50%",0,0,0,0
